kanji,readings,meaning
一,いち,One
二,に,Two
九,く,Nine
七,しち,Seven
人,にん,Person
入,にゅう,Enter
八,はち,Eight
力,りょく,"Power, Strength, Ability"
十,じゅう,Ten
三,さん,Three
上,じょう,"Above, Up, Over"
下,か,"Below, Down, Under, Beneath"
口,こう,Mouth
大,たい,"Big, Large"
女,じょ,Woman
山,さん,Mountain
川,かわ,River
工,こう,"Construction, Industry"
刀,とう,"Sword, Katana"
土,ど,"Dirt, Soil, Earth, Ground"
千,せん,Thousand
夕,ゆう,Evening
子,し,"Child, Kid"
小,しょう,"Small, Little"
丁,ちょう,Street
了,りょう,"Finish, Complete, End"
又,また,Again
丸,まる,"Circle, Circular, Round"
才,さい,Genius
中,ちゅう,"Middle, In, Inside, Center"
五,ご,Five
六,ろく,Six
円,えん,"Yen, Round, Circle"
天,てん,Heaven
手,て,"Hand, Doer"
文,ぶん,"Writing, Sentence"
日,にち,"Sun, Day"
月,げつ,"Moon, Month"
木,もく,"Tree, Wood"
水,すい,Water
火,か,Fire
犬,いぬ,Dog
王,おう,King
出,しゅつ,Exit
右,ゆう,Right
四,し,Four
左,さ,Left
本,ほん,"Book, Origin, Real, Main"
正,せい,Correct
玉,たま,Ball
田,た,"Rice Paddy, Rice Field, Field"
白,はく,White
目,め,Eye
石,せき,Stone
立,りつ,Stand
万,まん,Ten Thousand
久,きゅう,Long Time
今,こん,Now
元,げん,Origin
公,こう,Public
内,ない,"Inside, Within"
分,ぶん,"Part, Minute"
切,せつ,Cut
午,ご,Noon
友,ゆう,Friend
太,たい,Fat
少,しょう,"Few, A Little"
引,ひ,Pull
心,しん,Heart
戸,と,Door
方,ほう,"Direction, Way"
牛,ぎゅう,Cow
父,ちち,"Father, Dad"
毛,もう,"Fur, Hair"
止,し,Stop
兄,きょう,"Older Brother, Big Brother, Elder Brother"
冬,ふゆ,Winter
北,ほく,North
半,はん,Half
古,こ,Old
台,だい,Machine
外,がい,Outside
市,し,City
広,ひろ,Wide
母,はは,"Mother, Mom"
用,よう,"Task, Use"
矢,や,Arrow
世,せい,"World, Generation"
主,しゅ,"Master, Main"
他,た,Other
代,だい,"Substitute, Replace, Period, Age"
写,しゃ,Copy
去,きょ,Past
号,ごう,Number
央,おう,"Center, Centre"
平,へい,"Flat, Peace"
打,だ,Hit
氷,こおり,Ice
申,もう,Say Humbly
皮,ひ,Skin
皿,さら,"Plate, Dish"
礼,れい,"Thanks, Etiquette"
休,きゅう,Rest
